target,,,,,,,
CRM,црм,эсэрэм,сираэм,сирээм,сиэрэм,сирээмку,цэрээм
Excel,эксель,ексель,экселя,иксель,эксэлевский,эксэловский,экселе
email,емэйл,емеил,имеил,имейл,емейл,,
IVR,айвеар,авээр,айвиар,айвеарку,ивээр,веар,
API,апи,апе,,,,,
Telegram,телеграмм,телеграм,телеграмме,телеграме,,,
XLA,иксэлэй,,,,,,
XLS,иксэлэс,,,,,,
AmoCRM,амо,амосирээм,амо цэрээм,,,,
SMM,смм,эсэмэм,,,,,
SEO,сео,,,,,,
Whatsapp,вотсапе,Ватсап,,,,,
Getcourse,геткурса,,,,,,
Viber,вайбер,,,,,,
sms,эсэмэсок,эсэмэску,смс,эс эм эс,эсэмэски,эс эм эски,эсэмэской
mp3,эмпэ три,,,,,,
m4a,эм четыре а,,,,,,
csv,сиэсви,,,,,,
DiDi такси,диди такси,дидитакси,диди,,,,
ip,айпи,аипи,ай пи,аи пи,,,
id,айди,аиди,ай ди,аи ди,,,
ctrl C,контрол цэ,,,,,,
ctrl V,контрол вэ,,,,,,
Zvonobot,Звонобот,Звонобота,звоно бот,звона бот,звонобот,,
zvonobot.ru,Zvonobot точка ру,,,,,,
webhook,вебхуку,,,,,,
ИП,ипэ,,,,,,
ТЗ,тэзэшка,,,,,,
Mac,мак,,,,,,
Android,андроид,,,,,,
Яндекс.облако,яндекс облако,яндекс клауд,,,,,
gmail,джимеил,,,,,,
pdf,пэдээф,,,,,,
БФЛ,бэ фэ эл,,,,,,
вкратце,в кратце,вкртаце,,,,,
inBook,инбук,,,,,,
Apple,эпл,,,,,,
Windows,виндовс,виндоус,,,,,
WPS,впс,,,,,,
Unitpay,юнитпей,юнитпэй,,,,,
Microsoft,майкрософт,микрософт,майкрософта,микрософта,,,
во первых,во 1,,,,,,
во вторых,во 2,,,,,,
Видеоглаз,видео глаз,видио глаз,видио глас,видео глас,,,
Webinar group,вебинара,вебинар групп,вебинар груп,,,,
и тд,и тэ дэ,и тэдэ,,,,,
и тп,и тэ пэ,и тэпэ,,,,,
Google Chrome,гугл хром,,,,,,
Google,гугл,гугле,гугла,,,,